supri.sppinang,uwo.azwar,Directed,154098,,1
supri.sppinang,syamsidar.dedek.1,Directed,154045,,1
supri.sppinang,100082307914559,Directed,154031,,1
supri.sppinang,100087409873573,Directed,154009,,1
supri.sppinang,100078345064202,Directed,153911,,1
supri.sppinang,100075583531040,Directed,152600,,1
endri.zal.75,supri.sppinang,Directed,153894,,1
dian.brandals.35,supri.sppinang,Directed,153893,,1
100006151848674,supri.sppinang,Directed,153892,,1
hofson.sianipar.1,supri.sppinang,Directed,153891,,1
papi.alfha,supri.sppinang,Directed,153890,,1
jepry.pane.1,supri.sppinang,Directed,153889,,1
dicky.suhendro.9,supri.sppinang,Directed,153888,,1
ferypadly.pane,supri.sppinang,Directed,153887,,1
fortuner.fortun.12,supri.sppinang,Directed,153886,,1
yogi.andrean.9480,supri.sppinang,Directed,153885,,1
uwo.eko.5,supri.sppinang,Directed,153884,,1
yudy.setiawan.773,supri.sppinang,Directed,153883,,1
hasril.hasril.777,supri.sppinang,Directed,153882,,1
defryindry.indry,supri.sppinang,Directed,153881,,1
uwo.azwar,supri.sppinang,Directed,153880,,1
100030651203875,supri.sppinang,Directed,153879,,1
fery.marcel.7,supri.sppinang,Directed,153878,,1
sunarji.sunarji.169405,supri.sppinang,Directed,153877,,1
sahfrijal.damanik,supri.sppinang,Directed,153876,,1
bembeng.ayamikha,supri.sppinang,Directed,153875,,1
100034821754516,supri.sppinang,Directed,153874,,1
kanou.puetrakaleem,supri.sppinang,Directed,153873,,1
hotmarisi.hutabarat.3,supri.sppinang,Directed,153870,,1
jefri.s.darma.3,supri.sppinang,Directed,153868,,1
100053584963235,supri.sppinang,Directed,153867,,1
juwitajuwita.juwitajuwita.524,supri.sppinang,Directed,153866,,1
alim.abr.5,supri.sppinang,Directed,153865,,1
edy.gusniawan.1,supri.sppinang,Directed,153864,,1
syamsidar.dedek.1,supri.sppinang,Directed,153862,,1
100058255179682,supri.sppinang,Directed,153861,,1
100070229514247,supri.sppinang,Directed,153855,,1
100070726473115,supri.sppinang,Directed,153854,,1
100075583531040,supri.sppinang,Directed,153853,,1
100075991920504,supri.sppinang,Directed,153852,,1
100076468218017,supri.sppinang,Directed,153851,,1
100077170983219,supri.sppinang,Directed,153850,,1
100078345064202,supri.sppinang,Directed,153849,,1
100082307914559,supri.sppinang,Directed,153848,,1
100083209870319,supri.sppinang,Directed,153847,,1
100084706526080,supri.sppinang,Directed,153846,,1
100087409873573,supri.sppinang,Directed,153845,,1
100035091545794,supri.sppinang,Directed,153844,,1
irfann.mansurr,supri.sppinang,Directed,153843,,1
100030948439158,supri.sppinang,Directed,153842,,1
100007415798224,supri.sppinang,Directed,153840,,1
